slug,journal,title,year,doi,pdf_path,pdf_url,status,cited,src
ieee-internet-of-things-journal,IEEE Internet of Things Journal,Realizing an Effective COVID-19 Diagnosis System Based on Machine Learning and IoT in Smart Hospital Environment.,2021,10.1109/jiot.2021.3050775,papers/literature/target_journal_related/fulltext_by_journal/ieee-internet-of-things-journal/ieee-internet-of-things-journal__2021__realizing_an_effective_covid_19_diagnosis_system_based___ec843df127.pdf,https://europepmc.org/articles/PMC8769008?pdf=render,downloaded,52,europepmc
ieee-internet-of-things-journal,IEEE Internet of Things Journal,Adversarial Examples-Security Threats to COVID-19 Deep Learning Systems in Medical IoT Devices.,2021,10.1109/jiot.2020.3013710,papers/literature/target_journal_related/fulltext_by_journal/ieee-internet-of-things-journal/ieee-internet-of-things-journal__2021__adversarial_examples_security_threats_to_covid_19_deep___8a845ed1a5.pdf,https://europepmc.org/articles/PMC8864959?pdf=render,downloaded,44,europepmc
ieee-internet-of-things-journal,IEEE Internet of Things Journal,A Lightweight and Robust Secure Key Establishment Protocol for Internet of Medical Things in COVID-19 Patients Care.,2021,10.1109/jiot.2020.3047662,papers/literature/target_journal_related/fulltext_by_journal/ieee-internet-of-things-journal/ieee-internet-of-things-journal__2021__a_lightweight_and_robust_secure_key_establishment_proto__870aea2234.pdf,https://europepmc.org/articles/PMC8791439?pdf=render,downloaded,40,europepmc
ieee-internet-of-things-journal,IEEE Internet of Things Journal,LSTM-Based Emotion Detection Using Physiological Signals: IoT Framework for Healthcare and Distance Learning in COVID-19.,2021,10.1109/jiot.2020.3044031,papers/literature/target_journal_related/fulltext_by_journal/ieee-internet-of-things-journal/ieee-internet-of-things-journal__2021__lstm_based_emotion_detection_using_physiological_signal__015e49e38a.pdf,https://europepmc.org/articles/PMC8864945?pdf=render,downloaded,30,europepmc
ieee-internet-of-things-journal,IEEE Internet of Things Journal,An IoT-Based Deep Learning Framework for Early Assessment of Covid-19.,2021,10.1109/jiot.2020.3034074,papers/literature/target_journal_related/fulltext_by_journal/ieee-internet-of-things-journal/ieee-internet-of-things-journal__2021__an_iot_based_deep_learning_framework_for_early_assessme__ade9463cc8.pdf,https://europepmc.org/articles/PMC8768983?pdf=render,downloaded,28,europepmc
ieee-internet-of-things-journal,IEEE Internet of Things Journal,An Internet-of-Medical-Things-Enabled Edge Computing Framework for Tackling COVID-19.,2021,10.1109/jiot.2021.3051080,papers/literature/target_journal_related/fulltext_by_journal/ieee-internet-of-things-journal/ieee-internet-of-things-journal__2021__an_internet_of_medical_things_enabled_edge_computing_fr__a425c430be.pdf,https://europepmc.org/articles/PMC8769000?pdf=render,downloaded,27,europepmc
ieee-internet-of-things-journal,IEEE Internet of Things Journal,"Harnessing the Power of Smart and Connected Health to Tackle COVID-19: IoT, AI, Robotics, and Blockchain for a Better World.",2021,10.1109/jiot.2021.3073904,papers/literature/target_journal_related/fulltext_by_journal/ieee-internet-of-things-journal/ieee-internet-of-things-journal__2021__harnessing_the_power_of_smart_and_connected_health_to_t__de61744861.pdf,https://europepmc.org/articles/PMC8769005?pdf=render,downloaded,26,europepmc
ieee-internet-of-things-journal,IEEE Internet of Things Journal,Efficient Security and Authentication for Edge-Based Internet of Medical Things.,2021,10.1109/jiot.2020.3038009,papers/literature/target_journal_related/fulltext_by_journal/ieee-internet-of-things-journal/ieee-internet-of-things-journal__2021__efficient_security_and_authentication_for_edge_based_in__9be85d2a95.pdf,https://europepmc.org/articles/PMC8956370?pdf=render,downloaded,23,europepmc
ieee-internet-of-things-journal,IEEE Internet of Things Journal,A First Look at Privacy Analysis of COVID-19 Contact-Tracing Mobile Applications.,2021,10.1109/jiot.2020.3024180,papers/literature/target_journal_related/fulltext_by_journal/ieee-internet-of-things-journal/ieee-internet-of-things-journal__2021__a_first_look_at_privacy_analysis_of_covid_19_contact_tr__9866b14746.pdf,https://europepmc.org/articles/PMC8768965?pdf=render,downloaded,21,europepmc
wiley-ccpe,CCPE,Jaya-tunicate swarm algorithm based generative adversarial network for COVID-19 prediction with chest computed tomography images.,2022,10.1002/cpe.7211,papers/literature/target_journal_related/fulltext_by_journal/wiley-ccpe/wiley-ccpe__2022__jaya_tunicate_swarm_algorithm_based_generative_adversar__8337c01356.pdf,https://europepmc.org/articles/PMC9353441?pdf=render,downloaded,3,europepmc
wiley-ccpe,CCPE,A novel COVID-19 sentiment analysis in Turkish based on the combination of convolutional neural network and bidirectional long-short term memory on Twitter.,2022,10.1002/cpe.6883,papers/literature/target_journal_related/fulltext_by_journal/wiley-ccpe/wiley-ccpe__2022__a_novel_covid_19_sentiment_analysis_in_turkish_based_on__c981bd7896.pdf,https://europepmc.org/articles/PMC9074424?pdf=render,downloaded,3,europepmc
wiley-ccpe,CCPE,Enforcing trustworthy cloud SLA with witnesses: A game theory-based model using smart contracts.,2021,10.1002/cpe.5511,papers/literature/target_journal_related/fulltext_by_journal/wiley-ccpe/wiley-ccpe__2021__enforcing_trustworthy_cloud_sla_with_witnesses_a_game_t__7d2ca7264e.pdf,https://europepmc.org/articles/PMC9286419?pdf=render,downloaded,2,europepmc
wiley-ccpe,CCPE,Optimization of a parallel permutation testing function for the SPRINT R package.,2011,10.1002/cpe.1787,papers/literature/target_journal_related/fulltext_by_journal/wiley-ccpe/wiley-ccpe__2011__optimization_of_a_parallel_permutation_testing_function__2a1fbb2dd0.pdf,https://europepmc.org/articles/PMC3546371?pdf=render,downloaded,2,europepmc
wiley-ccpe,CCPE,A multi-core ready discrete element method with triangles using dynamically adaptive multiscale grids.,2019,10.1002/cpe.4935,papers/literature/target_journal_related/fulltext_by_journal/wiley-ccpe/wiley-ccpe__2019__a_multi_core_ready_discrete_element_method_with_triangl__933c71da2b.pdf,https://europepmc.org/articles/PMC9285829?pdf=render,downloaded,1,europepmc
nature-scientific-reports,Scientific Reports,nature-scientific-reports__2012__lead_iodide_perovskite_sensitized_all_solid_state_submi__4e64ef3d31,,,papers/literature/target_journal_related/fulltext_by_journal/nature-scientific-reports/nature-scientific-reports__2012__lead_iodide_perovskite_sensitized_all_solid_state_submi__4e64ef3d31.pdf,,cached,,cache
nature-scientific-reports,Scientific Reports,nature-scientific-reports__2016__ultrastructural_characterization_of_the_lower_motor_sys__301e754451,,,papers/literature/target_journal_related/fulltext_by_journal/nature-scientific-reports/nature-scientific-reports__2016__ultrastructural_characterization_of_the_lower_motor_sys__301e754451.pdf,,cached,,cache
nature-scientific-reports,Scientific Reports,nature-scientific-reports__2017__qupath_open_source_software_for_digital_pathology_image__1de5f7c7d5,,,papers/literature/target_journal_related/fulltext_by_journal/nature-scientific-reports/nature-scientific-reports__2017__qupath_open_source_software_for_digital_pathology_image__1de5f7c7d5.pdf,,cached,,cache
nature-scientific-reports,Scientific Reports,nature-scientific-reports__2017__ror2_signaling_regulates_golgi_structure_and_transport___fe7d139d79,,,papers/literature/target_journal_related/fulltext_by_journal/nature-scientific-reports/nature-scientific-reports__2017__ror2_signaling_regulates_golgi_structure_and_transport___fe7d139d79.pdf,,cached,,cache
nature-scientific-reports,Scientific Reports,nature-scientific-reports__2017__swissadme_a_free_web_tool_to_evaluate_pharmacokinetics___501b0db826,,,papers/literature/target_journal_related/fulltext_by_journal/nature-scientific-reports/nature-scientific-reports__2017__swissadme_a_free_web_tool_to_evaluate_pharmacokinetics___501b0db826.pdf,,cached,,cache
nature-scientific-reports,Scientific Reports,nature-scientific-reports__2018__in_situ_immune_response_and_mechanisms_of_cell_damage_i__94ddecb4d3,,,papers/literature/target_journal_related/fulltext_by_journal/nature-scientific-reports/nature-scientific-reports__2018__in_situ_immune_response_and_mechanisms_of_cell_damage_i__94ddecb4d3.pdf,,cached,,cache
nature-scientific-reports,Scientific Reports,nature-scientific-reports__2019__from_louvain_to_leiden_guaranteeing_well_connected_comm__055478626b,,,papers/literature/target_journal_related/fulltext_by_journal/nature-scientific-reports/nature-scientific-reports__2019__from_louvain_to_leiden_guaranteeing_well_connected_comm__055478626b.pdf,,cached,,cache
nature-scientific-reports,Scientific Reports,nature-scientific-reports__2019__occurrence_of_the_potent_mutagens_2_nitrobenzanthrone_a__6681eda4a9,,,papers/literature/target_journal_related/fulltext_by_journal/nature-scientific-reports/nature-scientific-reports__2019__occurrence_of_the_potent_mutagens_2_nitrobenzanthrone_a__6681eda4a9.pdf,,cached,,cache
nature-scientific-reports,Scientific Reports,nature-scientific-reports__2020__re_epithelialization_and_immune_cell_behaviour_in_an_ex__9f280385d6,,,papers/literature/target_journal_related/fulltext_by_journal/nature-scientific-reports/nature-scientific-reports__2020__re_epithelialization_and_immune_cell_behaviour_in_an_ex__9f280385d6.pdf,,cached,,cache
nature-scientific-reports,Scientific Reports,nature-scientific-reports__2021__plasma_hsp90_levels_in_patients_with_systemic_sclerosis__d7c4926b21,,,papers/literature/target_journal_related/fulltext_by_journal/nature-scientific-reports/nature-scientific-reports__2021__plasma_hsp90_levels_in_patients_with_systemic_sclerosis__d7c4926b21.pdf,,cached,,cache
elsevier-journal-of-energy-storage,Journal of Energy Storage,Towards a large-scale integration of renewable energies in Morocco.,2020,10.1016/j.est.2020.101806,papers/literature/target_journal_related/fulltext_by_journal/elsevier-journal-of-energy-storage/elsevier-journal-of-energy-storage__2020__towards_a_large_scale_integration_of_renewable_energies__17608510c6.pdf,https://europepmc.org/articles/PMC7462839?pdf=render,downloaded,7,europepmc
elsevier-journal-of-energy-storage,Journal of Energy Storage,Impact of COVID-19 restrictions on building energy consumption using Phase Change Materials (PCM) and insulation: A case study in six climatic zones of Morocco.,2022,10.1016/j.est.2022.105374,papers/literature/target_journal_related/fulltext_by_journal/elsevier-journal-of-energy-storage/elsevier-journal-of-energy-storage__2022__impact_of_covid_19_restrictions_on_building_energy_cons__31fa3f6232.pdf,https://europepmc.org/articles/PMC9340464?pdf=render,downloaded,2,europepmc
elsevier-journal-of-energy-storage,Journal of Energy Storage,Internet of things based smart energy management in a vanadium redox flow battery storage integrated bio-solar microgrid.,2020,10.1016/j.est.2020.101967,papers/literature/target_journal_related/fulltext_by_journal/elsevier-journal-of-energy-storage/elsevier-journal-of-energy-storage__2020__internet_of_things_based_smart_energy_management_in_a_v__0af317c82f.pdf,https://europepmc.org/articles/PMC7561515?pdf=render,downloaded,,europepmc
