review_order,blind_item_id,dataset,question,gold_sql,query_class_proposed,difficulty_proposed,referenced_tables,result_columns,result_row_count,result_preview,decision,semantic_alignment,question_unambiguous,units_correct,sql_correct,answer_useful,query_class_reviewed,difficulty_reviewed,issue_codes,proposed_question,proposed_sql,confidence_1_to_5,reviewer_qualification,reviewer_signature,completed_at_utc,reviewer_notes
56,MAHR-AD5895B02382,RTS-GMLC,What was the maximum day-ahead spinning reserve requirement for each product on 2020-01-04?,"SELECT reserve_product, ROUND(MAX(requirement_mw), 3) AS maximum_requirement_mw FROM reserve_requirements_da WHERE timestamp >= '2020-01-04 00:00:00' AND timestamp < datetime('2020-01-04 00:00:00', '+1 day') GROUP BY reserve_product ORDER BY reserve_product",aggregate,medium,reserve_requirements_da,reserve_product|maximum_requirement_mw,3,"[[""Spin_Up_R1"",36.203],[""Spin_Up_R2"",39.715],[""Spin_Up_R3"",47.632]]",,,,,,,,,,,,,,,,
57,MAHR-1D1840E3C24D,SimBench,Which buses have no incident line?,"SELECT b.bus_id, b.name FROM buses b LEFT JOIN lines l1 ON l1.from_bus_id = b.bus_id LEFT JOIN lines l2 ON l2.to_bus_id = b.bus_id WHERE l1.line_id IS NULL AND l2.line_id IS NULL ORDER BY b.bus_id",topology,hard,buses|lines,bus_id|name,4,"[[0,""HV1 Bus 25""],[1,""HV1 Bus 26""],[2,""MV3.101 node1""],[3,""MV3.101 node2""]]",,,,,,,,,,,,,,,,
58,MAHR-C8ACA6A27C26,RTS-GMLC,"List generators connected to PQ buses, with bus names and base voltage.","SELECT g.generator_uid, b.bus_name, b.base_kv FROM generators g JOIN buses b ON g.bus_id = b.bus_id WHERE b.bus_type = 'PQ' ORDER BY b.base_kv DESC, g.generator_uid",join,medium,generators|buses,generator_uid|bus_name|base_kv,22,"[[""119_PV_1"",""Attar"",230.0],[""212_CSP_1"",""Barkla"",230.0],[""312_PV_1"",""Caxton"",230.0],[""317_WIND_1"",""Chuhsi"",230.0],[""319_PV_1"",""Clay"",230.0]]",,,,,,,,,,,,,,,,
59,MAHR-1699105B9733,RTS-GMLC,Return the top 5 generators by maximum MW capacity.,"SELECT g.generator_uid, g.fuel, c.pmax_mw FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid ORDER BY c.pmax_mw DESC, g.generator_uid LIMIT 5",top_k,easy,generators|generator_constraints,generator_uid|fuel|pmax_mw,5,"[[""303_WIND_1"",""Wind"",847.0],[""317_WIND_1"",""Wind"",799.1],[""122_WIND_1"",""Wind"",713.5],[""121_NUCLEAR_1"",""Nuclear"",400.0],[""107_CC_1"",""NG"",355.0]]",,,,,,,,,,,,,,,,
60,MAHR-202467C28738,SimBench,Show each hydro generator together with its connected bus and nominal voltage.,"SELECT g.name AS generator_name, b.name AS bus_name, b.nominal_kv FROM generators g JOIN buses b ON b.bus_id = g.bus_id WHERE g.generator_type LIKE '%Hydro%' ORDER BY g.generator_id",join,medium,buses|generators,generator_name|bus_name|nominal_kv,1,"[[""MV3.101 MV SGen 1"",""MV3.101 Bus 86"",10.0]]",,,,,,,,,,,,,,,,
61,MAHR-10F2323675BD,SimBench,How many in-service line connections touch each of the five highest-degree buses?,"WITH endpoints AS (SELECT from_bus_id AS bus_id FROM lines WHERE in_service = 1 UNION ALL SELECT to_bus_id AS bus_id FROM lines WHERE in_service = 1) SELECT b.bus_id, b.name, COUNT(*) AS in_service_degree FROM endpoints e JOIN buses b ON b.bus_id = e.bus_id GROUP BY b.bus_id, b.name ORDER BY in_service_degree DESC, b.bus_id LIMIT 5",topology,hard,buses|endpoints|lines,bus_id|name|in_service_degree,5,"[[4,""MV3.101 busbar1A"",3],[5,""MV3.101 busbar1B"",3],[7,""MV3.101 busbar2B"",3],[8,""MV3.101 BS busbar1A"",3],[10,""MV3.101 BS busbar1C"",3]]",,,,,,,,,,,,,,,,
62,MAHR-029886672ADD,RTS-GMLC,"List generators connected to buses in area 2, with their bus names and fuels.","SELECT g.generator_uid, b.bus_name, g.fuel FROM generators g JOIN buses b ON g.bus_id = b.bus_id WHERE b.area = 2 ORDER BY b.bus_name, g.generator_uid",join,medium,generators|buses,generator_uid|bus_name|fuel,37,"[[""201_CT_1"",""Bach"",""Oil""],[""201_CT_2"",""Bach"",""Oil""],[""201_HYDRO_4"",""Bach"",""Hydro""],[""201_STEAM_3"",""Bach"",""Coal""],[""202_CT_1"",""Bacon"",""Oil""]]",,,,,,,,,,,,,,,,
63,MAHR-70326194ED60,RTS-GMLC,List the generator identifiers and unit types for NG-fueled units.,"SELECT generator_uid, unit_type FROM generators WHERE fuel = 'NG' ORDER BY generator_uid",filter,easy,generators,generator_uid|unit_type,37,"[[""107_CC_1"",""CC""],[""113_CT_1"",""CT""],[""113_CT_2"",""CT""],[""113_CT_3"",""CT""],[""113_CT_4"",""CT""]]",,,,,,,,,,,,,,,,
64,MAHR-B3DB44D5E2DB,SimBench,What is the total maximum active power of all distributed generators in MW?,"SELECT ROUND(SUM(maximum_active_power_mw), 6) AS total_generation_max_mw FROM generators",aggregate,medium,generators,total_generation_max_mw,1,[[null]],,,,,,,,,,,,,,,,
65,MAHR-6CB42A03F201,RTS-GMLC,"Return the top 5 generators by non-fuel start cost, excluding missing values.","SELECT g.generator_uid, g.fuel, c.nonfuel_start_cost_usd FROM generator_costs c JOIN generators g ON c.generator_uid = g.generator_uid WHERE c.nonfuel_start_cost_usd IS NOT NULL ORDER BY c.nonfuel_start_cost_usd DESC, g.generator_uid LIMIT 5",top_k,medium,generator_costs|generators,generator_uid|fuel|nonfuel_start_cost_usd,5,"[[""212_CSP_1"",""Solar"",10000.0],[""101_CT_1"",""Oil"",0.0],[""101_CT_2"",""Oil"",0.0],[""101_PV_1"",""Solar"",0.0],[""101_PV_2"",""Solar"",0.0]]",,,,,,,,,,,,,,,,
66,MAHR-710D0CFEEBAE,SimBench,How many transformers are available?,SELECT COUNT(*) AS transformer_count FROM transformers,single_table,easy,transformers,transformer_count,1,[[2]],,,,,,,,,,,,,,,,
67,MAHR-638BE375AF10,SimBench,Show transformer names with their high- and low-voltage bus names.,"SELECT t.name AS transformer_name, hb.name AS high_voltage_bus, lb.name AS low_voltage_bus FROM transformers t JOIN buses hb ON hb.bus_id = t.hv_bus_id JOIN buses lb ON lb.bus_id = t.lv_bus_id ORDER BY t.transformer_id",join,medium,buses|transformers,transformer_name|high_voltage_bus|low_voltage_bus,2,"[[""HV1-MV3.101-Trafo1"",""HV1 Bus 25"",""MV3.101 node1""],[""HV1-MV3.101-Trafo2"",""HV1 Bus 26"",""MV3.101 node2""]]",,,,,,,,,,,,,,,,
68,MAHR-D5AC1B52322A,RTS-GMLC,How many NG-fueled generators are there and what is their total maximum capacity?,"SELECT g.fuel, COUNT(*) AS generator_count, ROUND(SUM(c.pmax_mw), 2) AS total_pmax_mw FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid WHERE g.fuel = 'NG' GROUP BY g.fuel",join,medium,generators|generator_constraints,fuel|generator_count|total_pmax_mw,1,"[[""NG"",37,5035.0]]",,,,,,,,,,,,,,,,
69,MAHR-316242C04BA8,RTS-GMLC,"For 2020-07-09, summarize total day-ahead generation by fuel.","SELECT g.fuel, ROUND(SUM(d.generation_mw), 2) AS total_generation_mwh FROM dispatch_da d JOIN generators g ON d.generator_uid = g.generator_uid WHERE d.timestamp >= '2020-07-09 00:00:00' AND d.timestamp < datetime('2020-07-09 00:00:00', '+1 day') GROUP BY g.fuel ORDER BY total_generation_mwh DESC, g.fuel",join,hard,dispatch_da|generators,fuel|total_generation_mwh,8,"[[""Coal"",40145.55],[""NG"",20820.34],[""Wind"",18619.32],[""Solar"",18497.79],[""Hydro"",16305.8]]",,,,,,,,,,,,,,,,
70,MAHR-85675B4773A8,SimBench,How many open and closed switches are there?,"SELECT closed, COUNT(*) AS switch_count FROM switches GROUP BY closed ORDER BY closed",aggregate,medium,switches,closed|switch_count,2,"[[0,15],[1,290]]",,,,,,,,,,,,,,,,
71,MAHR-C1D5320FBEC0,SimBench,Which five generators have the highest maximum active power?,"SELECT generator_id, name, maximum_active_power_mw FROM generators ORDER BY maximum_active_power_mw DESC, generator_id LIMIT 5",top_k,medium,generators,generator_id|name|maximum_active_power_mw,5,"[[0,""MV3.101 SGen 1"",null],[1,""MV3.101 SGen 2"",null],[2,""MV3.101 SGen 3"",null],[3,""MV3.101 SGen 4"",null],[4,""MV3.101 SGen 5"",null]]",,,,,,,,,,,,,,,,
72,MAHR-AD72111CC98C,SimBench,Count generators at each connected bus and show only buses with more than one generator.,"SELECT b.bus_id, b.name, COUNT(*) AS generator_count FROM generators g JOIN buses b ON b.bus_id = g.bus_id GROUP BY b.bus_id, b.name HAVING COUNT(*) > 1 ORDER BY generator_count DESC, b.bus_id",join,medium,buses|generators,bus_id|name|generator_count,1,"[[86,""MV3.101 Bus 86"",2]]",,,,,,,,,,,,,,,,
73,MAHR-37E368E1A6F2,SimBench,How many buses are represented in this SimBench network?,SELECT COUNT(*) AS bus_count FROM buses,single_table,easy,buses,bus_count,1,[[144]],,,,,,,,,,,,,,,,
74,MAHR-FDDF93AA45E0,RTS-GMLC,Which generators require at least 4 hours of minimum up time?,"SELECT g.generator_uid, g.unit_type, c.min_up_time_hr FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid WHERE c.min_up_time_hr >= 4 ORDER BY c.min_up_time_hr DESC, g.generator_uid",join,medium,generators|generator_constraints,generator_uid|unit_type|min_up_time_hr,34,"[[""121_NUCLEAR_1"",""NUCLEAR"",24.0],[""123_STEAM_3"",""STEAM"",24.0],[""223_STEAM_3"",""STEAM"",24.0],[""101_STEAM_3"",""STEAM"",8.0],[""101_STEAM_4"",""STEAM"",8.0]]",,,,,,,,,,,,,,,,
75,MAHR-E071C85EAC9B,RTS-GMLC,Which generators produced positive output at 2020-07-05 02:00:00 in the all-transmission day-ahead solution?,"SELECT generator_uid, generation_mw FROM dispatch_da WHERE timestamp = '2020-07-05 02:00:00' AND transmission_scenario = 'allTX' AND generation_mw > 0 ORDER BY generation_mw DESC, generator_uid",filter,medium,dispatch_da,generator_uid|generation_mw,49,"[[""121_NUCLEAR_1"",400.0],[""123_STEAM_3"",280.0],[""313_CC_1"",231.7],[""223_STEAM_3"",210.0],[""107_CC_1"",170.0]]",,,,,,,,,,,,,,,,
76,MAHR-8A5294BE1074,RTS-GMLC,How many Oil-fueled generators are there and what is their total maximum capacity?,"SELECT g.fuel, COUNT(*) AS generator_count, ROUND(SUM(c.pmax_mw), 2) AS total_pmax_mw FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid WHERE g.fuel = 'Oil' GROUP BY g.fuel",join,medium,generators|generator_constraints,fuel|generator_count|total_pmax_mw,1,"[[""Oil"",19,324.0]]",,,,,,,,,,,,,,,,
77,MAHR-61F5990B8E0F,RTS-GMLC,"For 2020-07-07, summarize total day-ahead generation by fuel.","SELECT g.fuel, ROUND(SUM(d.generation_mw), 2) AS total_generation_mwh FROM dispatch_da d JOIN generators g ON d.generator_uid = g.generator_uid WHERE d.timestamp >= '2020-07-07 00:00:00' AND d.timestamp < datetime('2020-07-07 00:00:00', '+1 day') GROUP BY g.fuel ORDER BY total_generation_mwh DESC, g.fuel",join,hard,dispatch_da|generators,fuel|total_generation_mwh,8,"[[""Coal"",41293.58],[""NG"",24842.15],[""Solar"",16806.1],[""Hydro"",15711.8],[""Nuclear"",9600.0]]",,,,,,,,,,,,,,,,
78,MAHR-E7AAD2BD64EF,SimBench,Show the five loads with the largest maximum active power and their bus names.,"SELECT l.load_id, l.name AS load_name, b.name AS bus_name, l.maximum_active_power_mw FROM loads l JOIN buses b ON b.bus_id = l.bus_id ORDER BY l.maximum_active_power_mw DESC, l.load_id LIMIT 5",join,medium,buses|loads,load_id|load_name|bus_name|maximum_active_power_mw,5,"[[0,""HV1_MV3.101_load"",""MV3.101 busbar1A"",null],[1,""MV3.101 Load 2"",""MV3.101 Bus 11"",null],[2,""MV3.101 Load 3"",""MV3.101 Bus 12"",null],[3,""MV3.101 Load 4"",""MV3.101 Bus 13"",null],[4,""MV3.101 Load 5"",""MV3.101 Bus 14"",null]]",,,,,,,,,,,,,,,,
79,MAHR-56BA8DEC4C62,RTS-GMLC,"Return the five renewable generators with the highest available MW at 2020-01-01 00:00:00, including their fuel labels.","SELECT r.generator_uid, g.fuel, r.available_mw FROM renewable_availability_da r JOIN generators g ON r.generator_uid = g.generator_uid WHERE r.timestamp = '2020-01-01 00:00:00' ORDER BY r.available_mw DESC, r.generator_uid LIMIT 5",top_k,medium,renewable_availability_da|generators,generator_uid|fuel|available_mw,5,"[[""317_WIND_1"",""Wind"",795.1],[""122_WIND_1"",""Wind"",713.2],[""303_WIND_1"",""Wind"",480.8],[""309_WIND_1"",""Wind"",142.8],[""101_PV_1"",""Solar"",0.0]]",,,,,,,,,,,,,,,,
80,MAHR-EDF27D69C63B,SimBench,Show the first five lines with their from-bus and to-bus names.,"SELECT l.line_id, l.name AS line_name, fb.name AS from_bus, tb.name AS to_bus FROM lines l JOIN buses fb ON fb.bus_id = l.from_bus_id JOIN buses tb ON tb.bus_id = l.to_bus_id ORDER BY l.line_id LIMIT 5",join,medium,buses|lines,line_id|line_name|from_bus|to_bus,5,"[[0,""MV3.101 Line 1"",""MV3.101 busbar1A"",""MV3.101 Bus 11""],[1,""MV3.101 Line 2"",""MV3.101 Bus 11"",""MV3.101 Bus 12""],[2,""MV3.101 Line 3"",""MV3.101 Bus 12"",""MV3.101 Bus 13""],[3,""MV3.101 Line 4"",""MV3.101 Bus 13"",""MV3.101 Bus 14""],[4,""MV3.101 Line 5"",""MV3.101 Bus 14"",""MV3.101 Bus 15""]]",,,,,,,,,,,,,,,,
81,MAHR-84AA421485B6,SimBench,Which lines connect buses with different nominal voltages?,"SELECT l.line_id, l.name, fb.nominal_kv AS from_kv, tb.nominal_kv AS to_kv FROM lines l JOIN buses fb ON fb.bus_id = l.from_bus_id JOIN buses tb ON tb.bus_id = l.to_bus_id WHERE fb.nominal_kv <> tb.nominal_kv ORDER BY l.line_id",topology,hard,buses|lines,line_id|name|from_kv|to_kv,0,[],,,,,,,,,,,,,,,,
82,MAHR-A6D919F1A62F,RTS-GMLC,"Return the five renewable generators with the highest available MW at 2020-01-01 04:00:00, including their fuel labels.","SELECT r.generator_uid, g.fuel, r.available_mw FROM renewable_availability_da r JOIN generators g ON r.generator_uid = g.generator_uid WHERE r.timestamp = '2020-01-01 04:00:00' ORDER BY r.available_mw DESC, r.generator_uid LIMIT 5",top_k,medium,renewable_availability_da|generators,generator_uid|fuel|available_mw,5,"[[""317_WIND_1"",""Wind"",752.2],[""122_WIND_1"",""Wind"",701.4],[""303_WIND_1"",""Wind"",407.9],[""309_WIND_1"",""Wind"",137.1],[""101_PV_1"",""Solar"",0.0]]",,,,,,,,,,,,,,,,
83,MAHR-465B09C7D090,SimBench,How many lines are in the network?,SELECT COUNT(*) AS line_count FROM lines,single_table,easy,lines,line_count,1,[[147]],,,,,,,,,,,,,,,,
84,MAHR-51243B941685,RTS-GMLC,Which generators require at least 1 hours of minimum up time?,"SELECT g.generator_uid, g.unit_type, c.min_up_time_hr FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid WHERE c.min_up_time_hr >= 1 ORDER BY c.min_up_time_hr DESC, g.generator_uid",join,medium,generators|generator_constraints,generator_uid|unit_type|min_up_time_hr,74,"[[""121_NUCLEAR_1"",""NUCLEAR"",24.0],[""123_STEAM_3"",""STEAM"",24.0],[""223_STEAM_3"",""STEAM"",24.0],[""101_STEAM_3"",""STEAM"",8.0],[""101_STEAM_4"",""STEAM"",8.0]]",,,,,,,,,,,,,,,,
85,MAHR-5338AF4DEEF7,RTS-GMLC,What was the average day-ahead load for each region on 2020-01-01?,"SELECT region, ROUND(AVG(load_mw), 2) AS average_load_mw FROM load_timeseries_da WHERE timestamp >= '2020-01-01 00:00:00' AND timestamp < datetime('2020-01-01 00:00:00', '+1 day') GROUP BY region ORDER BY region",aggregate,medium,load_timeseries_da,region|average_load_mw,3,"[[1,1144.74],[2,1205.56],[3,1528.12]]",,,,,,,,,,,,,,,,
86,MAHR-A776D06E08F0,RTS-GMLC,What was the average day-ahead load for each region on 2020-01-05?,"SELECT region, ROUND(AVG(load_mw), 2) AS average_load_mw FROM load_timeseries_da WHERE timestamp >= '2020-01-05 00:00:00' AND timestamp < datetime('2020-01-05 00:00:00', '+1 day') GROUP BY region ORDER BY region",aggregate,medium,load_timeseries_da,region|average_load_mw,3,"[[1,1061.2],[2,1144.96],[3,1279.52]]",,,,,,,,,,,,,,,,
87,MAHR-6CCF4086593B,SimBench,Which five lines are the longest?,"SELECT line_id, name, length_km FROM lines ORDER BY length_km DESC, line_id LIMIT 5",top_k,medium,lines,line_id|name|length_km,5,"[[146,""MV3.101 Reserve line"",0.93],[141,""MV3.101 loop_line 9"",0.69],[134,""MV3.101 loop_line 2"",0.65],[133,""MV3.101 loop_line 1"",0.6],[137,""MV3.101 loop_line 5"",0.54]]",,,,,,,,,,,,,,,,
88,MAHR-2D79C481E4A0,RTS-GMLC,Return the top 1 generators by maximum MW capacity.,"SELECT g.generator_uid, g.fuel, c.pmax_mw FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid ORDER BY c.pmax_mw DESC, g.generator_uid LIMIT 1",top_k,easy,generators|generator_constraints,generator_uid|fuel|pmax_mw,1,"[[""303_WIND_1"",""Wind"",847.0]]",,,,,,,,,,,,,,,,
89,MAHR-C79C4D3E4B12,RTS-GMLC,"Return the five renewable generators with the highest available MW at 2020-01-01 02:00:00, including their fuel labels.","SELECT r.generator_uid, g.fuel, r.available_mw FROM renewable_availability_da r JOIN generators g ON r.generator_uid = g.generator_uid WHERE r.timestamp = '2020-01-01 02:00:00' ORDER BY r.available_mw DESC, r.generator_uid LIMIT 5",top_k,medium,renewable_availability_da|generators,generator_uid|fuel|available_mw,5,"[[""317_WIND_1"",""Wind"",773.6],[""122_WIND_1"",""Wind"",708.4],[""303_WIND_1"",""Wind"",487.3],[""309_WIND_1"",""Wind"",145.3],[""101_PV_1"",""Solar"",0.0]]",,,,,,,,,,,,,,,,
90,MAHR-17AF7869B310,RTS-GMLC,Which generators require at least 12 hours of minimum up time?,"SELECT g.generator_uid, g.unit_type, c.min_up_time_hr FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid WHERE c.min_up_time_hr >= 12 ORDER BY c.min_up_time_hr DESC, g.generator_uid",join,medium,generators|generator_constraints,generator_uid|unit_type|min_up_time_hr,3,"[[""121_NUCLEAR_1"",""NUCLEAR"",24.0],[""123_STEAM_3"",""STEAM"",24.0],[""223_STEAM_3"",""STEAM"",24.0]]",,,,,,,,,,,,,,,,
91,MAHR-E394ECCC7721,RTS-GMLC,List the generator identifiers and unit types for Hydro-fueled units.,"SELECT generator_uid, unit_type FROM generators WHERE fuel = 'Hydro' ORDER BY generator_uid",filter,easy,generators,generator_uid|unit_type,20,"[[""122_HYDRO_1"",""HYDRO""],[""122_HYDRO_2"",""HYDRO""],[""122_HYDRO_3"",""HYDRO""],[""122_HYDRO_4"",""HYDRO""],[""122_HYDRO_5"",""HYDRO""]]",,,,,,,,,,,,,,,,
