"Path","SHA256","Bytes"
"verification_data\machine_silver\ma_stage2\labels_B.jsonl","B062346332175994FAB92DAAB4C7A92C7292279883E348BD3ECB40531CCDA6D1","109097"
"verification_data\machine_silver\ma_stage2\negative_controls_manifest.json","743A0710EF24B4F16C90F17230689A80CE865B649F91AF033BE850B19896C042","47421"
"verification_data\machine_silver\ma_stage2\raw_ledger.jsonl","F05FC901AF38249B2483D110F27870BADB85DF58CB687C283A432BE589BF40F4","271197"
"verification_data\machine_silver\ma_stage2\sample_manifest.json","159E8C4C49DF59EF3E645F2E1F57661D70650661446473C6E1CBAD56DE567919","67382"
"verification_data\machine_silver\ma_stage2\stats.json","2DC8DA0424213EE855B1D59223483746EE674DBECADC1828CADAAD368BC08E38","37498"
"verification_data\machine_silver\ma_stage3\adjudicated.jsonl","949C5E3B994718389A47E5BF8B13241C33802F8DF0A5CB5261332A2E70DCFCC3","19103"
"verification_data\machine_silver\ma_stage3\column_check_report.json","5677FF5EE7624C043D27F154762DA47408EA161ADA61B67B5C35D3048F477517","48916"
"verification_data\machine_silver\ma_stage3\execution_facts.jsonl","11429A15CFC7FC66F48AE16FE075E6D5AA6ECE465FEF7002E6AD85E9D4D35EF8","30559"
"verification_data\machine_silver\ma_stage3\final_labels.jsonl","002C2832963666D4015610CBE08295F075C4944AF2C6B26E627F14D6B1D3B155","89803"
"verification_data\machine_silver\ma_stage3\labels_A.jsonl","F2B703AB692585E7A43C4A9A2689A188AA980D29A101E2D69ADCD67BF489E4FE","102915"
"verification_data\machine_silver\ma_stage3\labels_B.jsonl","F2413A7CCCBF345C1B3E363410BEF6DE3E049614FC01A94D2DC4B47DBC74AD2C","104770"
"verification_data\machine_silver\ma_stage3\negative_controls_manifest.json","8F593C23D3983D5B5F4B12FA11F6C8D7CF732C8F62A00EEA67AD20EB5F3B5863","46386"
"verification_data\machine_silver\ma_stage3\raw_ledger.jsonl","01661DF8469F2602FA3940132E4B6097C7EC23FA6712319B1C2B1E442BBAA01E","259013"
"verification_data\machine_silver\ma_stage3\sample_manifest.json","3F67CB30CE3A10BE22A610C201C95CEEB53532DB653C329951BE458F1DC2234A","64181"
"verification_data\machine_silver\ma_stage3\sealed_manifest.json","254FD17E69CAB96A232AA20CDF21791BA70BF191CA93A136B156002F1A938CE0","31637"
"verification_data\machine_silver\ma_stage3\sealed_questions.jsonl","5D1ED4EA62B203355432E4FFF9AAECE41603D94D28EE2BC919C79D07F03A5DC3","51427"
"verification_data\machine_silver\ma_stage3\stats.json","7F2B2C5CD794E9BF3E6AB062E4B0DA60A00B0D5277432753FA46CA176A6D2519","56397"
